S. No,State/UT,Rape_Total_Cases
1,Andhra Pradesh,971
2,Arunachal Pradesh,67
3,Assam,1648
4,Bihar,651
5,Chhattisgarh,2091
6,Goa,61
7,Gujarat,553
8,Haryana,1296
9,Himachal Pradesh,344
10,Jammu & Kashmir,320
11,Jharkhand,1090
12,Karnataka,492
13,Kerala,1945
14,Madhya Pradesh,5433
15,Maharashtra,2142
16,Manipur,52
17,Meghalaya,87
18,Mizoram,50
19,Nagaland,10
20,Odisha,918
21,Punjab,831
22,Rajasthan,4335
23,Sikkim,16
24,Tamil Nadu,331
25,Telangana,606
26,Tripura,97
27,Uttar Pradesh,3946
28,Uttarakhand,561
29,West Bengal,1069
30,A&N Islands,30
31,Chandigarh,86
32,D&N Haveli,7
33,Daman & Diu,3
34,Delhi,1215
35,Lakshadweep,2
36,Puducherry,0
